time[s],deltaTime[s],rainfall[m],totalWaterLevel[m],surfaceFlow[m3/s],surfaceVolRunoff[m3]
845.6811,2.1949,0.000304847,0.011033847,0.029116667,0.063908173
847.876,2.1949,0.000304847,0.011033862,0.029116733,0.063908317
850.0709,2.1949,0.000304847,0.011033876,0.029116799,0.063908461
852.2658,2.1949,0.000304847,0.01103389,0.029116864,0.063908604
854.4607,2.1949,0.000304847,0.011033904,0.029116929,0.063908747
856.6556,2.1949,0.000304847,0.011033918,0.029116994,0.063908889
858.8505,2.1949,0.000304847,0.011033933,0.029117058,0.063909031
861.0454,2.1949,0.000304847,0.011033947,0.029117122,0.063909172
863.2403,2.1949,0.000304847,0.011033961,0.029117186,0.063909312
865.4352,2.1949,0.000304847,0.011033974,0.02911725,0.063909452
867.6301,2.1949,0.000304847,0.011033988,0.029117314,0.063909592
869.825,2.1949,0.000304847,0.011034002,0.029117377,0.06390973
872.0199,2.1949,0.000304847,0.011034016,0.02911744,0.063909869
874.2148,2.1949,0.000304847,0.011034029,0.029117503,0.063910006
876.4097,2.1949,0.000304847,0.011034043,0.029117565,0.063910144
878.6046,2.1949,0.000304847,0.011034057,0.029117627,0.06391028
880.7995,2.1949,0.000304847,0.01103407,0.029117689,0.063910416
882.9944,2.1949,0.000304847,0.011034084,0.029117751,0.063910552
885.1893,2.1949,0.000304847,0.011034097,0.029117813,0.063910687
887.3842,2.1949,0.000304847,0.01103411,0.029117874,0.063910821
889.5791,2.1949,0.000304847,0.011034124,0.029117935,0.063910955
891.774,2.1949,0.000304847,0.011034137,0.029117996,0.063911089
893.9689,2.1949,0.000304847,0.01103415,0.029118056,0.063911222
896.1638,2.1949,0.000304847,0.011034163,0.029118117,0.063911354
898.3587,2.1949,0.000304847,0.011034177,0.029118177,0.063911486
900.5536,2.1949,0.000304847,0.01103419,0.029118237,0.063911618
902.7485,2.1949,0.000304847,0.011034203,0.029118296,0.063911749
904.9434,2.1949,0.000304847,0.011034216,0.029118356,0.063911879
